City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,bemidji,47.4736,-94.8803,6.14,80,100,0.0,US,1730830439
139,tafuna,-14.3358,-170.72,27.97,83,75,1.54,AS,1730830461
140,utrik,11.2278,169.8474,28.33,81,67,9.6,MH,1730830484
141,nova vicosa,-17.8919,-39.3719,26.55,66,100,4.34,BR,1730830506
142,kayangel,8.0823,134.7173,27.97,76,100,0.79,PW,1730830528
143,saint-philippe,-21.3585,55.7679,23.19,86,46,4.24,RE,1730830550
144,santa ana,33.7456,-117.8678,22.8,43,40,2.06,US,1730830573
145,codrington,-38.2667,141.9667,21.24,44,51,8.9,AU,1730830595
146,sooke,48.3746,-123.7276,10.85,81,100,10.8,CA,1730830617
147,caconda,-13.7333,15.0667,18.12,84,90,2.87,AO,1730830639
148,salalah,17.0151,54.0924,28.05,74,0,1.54,OM,1730830661
149,varzea grande,-15.6467,-56.1325,29.93,70,40,4.12,BR,1730830684
150,isla mujeres,21.2311,-86.731,30.09,69,9,2.81,MX,1730830706
151,holualoa,19.6228,-155.9522,24.93,90,75,2.57,US,1730830728
152,mantua,45.1667,10.7833,10.34,96,96,0.45,IT,1730830750
153,wareham,50.6889,-2.1104,13.1,92,39,0.89,GB,1730830772
154,sint michiel liber,12.15,-68.9833,30.9,74,20,6.17,CW,1730830795
155,san miguel,13.4833,-88.1833,28.92,78,95,0.77,SV,1730830817
156,qaryat suluq,31.6682,20.2521,19.9,58,52,5.77,LY,1730830839
157,anar darah,32.7587,61.654,23.53,20,2,2.06,AF,1730830861
158,san luis de la loma,17.2706,-100.8939,29.08,69,3,2.19,MX,1730830884
159,ezequiel montes,20.6667,-99.8833,23.32,40,2,0.13,MX,1730830906
160,novokhopersk,51.0969,41.6252,-1.87,79,98,5.97,RU,1730830950
161,anna,51.4842,40.4299,-2.78,83,68,5.16,RU,1730830972
162,poltavka,54.3663,71.7632,-1.8,78,100,3.67,RU,1730830995
163,georgetown,5.4112,100.3354,26.96,87,20,2.57,MY,1730831017
164,nanakuli,21.3906,-158.1547,24.65,94,100,2.06,US,1730831039
165,edinburgh of the seven seas,-37.0676,-12.3116,14.63,77,99,3.51,SH,1730831061
166,acapulco de juarez,16.8634,-99.8901,29.9,74,0,1.54,MX,1730831084
167,arkhara,49.4212,130.0842,-10.97,79,16,2.83,RU,1730831106
168,urumqi,43.801,87.6005,4.53,70,83,1.0,CN,1730830863
169,astaneh-ye ashrafiyeh,37.2596,49.9444,13.0,89,100,2.98,IR,1730831150
170,fiche,9.8,38.7333,9.51,60,52,2.65,ET,1730831172
171,saudarkrokur,65.7461,-19.6394,7.83,86,68,5.06,IS,1730831195
172,mammoth lakes,37.6485,-118.9721,9.63,27,0,6.69,US,1730831217
173,kingston,17.997,-76.7936,26.53,94,100,10.8,JM,1730830989
174,el hamma,33.8915,9.7963,20.62,44,21,3.13,TN,1730831261
175,portales,34.1862,-103.3344,13.94,44,0,1.79,US,1730831081
176,kailua-kona,19.6406,-155.9956,27.0,88,75,2.57,US,1730831109
177,hamilton,39.1834,-84.5333,25.23,61,75,6.69,US,1730831350
178,guarambare,-25.4833,-57.4667,30.01,49,54,3.44,PY,1730831373
179,ajdabiya,30.7554,20.2263,20.33,69,0,3.46,LY,1730831395
